"id","city","country","street","nr"
"1","Battle Creek","Spain","Jamie Loop","28482"
"2","Leesburg","Barbados","Lubowitz Freeway","684"
"3","Fort Wayne","Heard Island and McDonald Islands","Narciso Dale","826"
"4","Memphis","Mauritania","Merl Cliff","48975"
"5","South Valley","Kuwait","Simonis Lights","323"
"6","Rancho Palos Verdes","Bhutan","Dena Valley","3389"
"7","Parker","Heard Island and McDonald Islands","Hills Canyon","2206"
"8","Noblesville","Albania","McDermott Mews","935"
"9","Bonita Springs","Venezuela","Hahn Roads","402"
"10","Keller","Maldives","Krista Dale","078"
"11","Kearny","Haiti","Weston Rest","4677"
"12","Yakima","Taiwan","Herzog Manor","255"
"13","Cape Coral","Tokelau","Little Shores","9830"
"14","Billings","Mozambique","Freeman Overpass","4482"
"15","Corpus Christi","Cote d'Ivoire","Weber Shoals","0192"
"16","Dallas","Netherlands","Turcotte Junction","7841"
"17","Tampa","Paraguay","Keebler Vista","397"
"18","Columbia","Belize","Jensen Camp","2161"
"19","Coral Gables","Czech Republic","Kub Track","04691"
"20","Meridian","Grenada","Kertzmann Parkways","4332"
"21","Spring Valley","Cambodia","Antonette Track","648"
"22","Dayton","Lao People's Democratic Republic","Gusikowski Harbor","922"
"23","Trenton","Brazil","Schmitt Streets","03131"
"24","Aurora","New Zealand","Walter Tunnel","13765"
"25","Rocklin","American Samoa","Reilly Lights","3433"
"26","Turlock","Uzbekistan","Weston Square","84983"
"27","McKinney","Rwanda","Reichert Harbor","6323"
"28","Oak Lawn","Eritrea","O'Kon Point","673"
"29","Parker","Cayman Islands","Davis Heights","37469"
"30","Bolingbrook","Spain","Wehner Fork","12034"
"31","Carmichael","Namibia","Kayleigh Terrace","62311"
"32","North Lauderdale","Brunei Darussalam","Ondricka Park","0291"
"33","Westminster","Macao","Russel Circles","5606"
"34","Weymouth Town","Pakistan","Hermann Junction","9139"
"35","Eastvale","Marshall Islands","Bartoletti Course","245"
"36","Peoria","Germany","Clemmie Fields","520"
"37","Rock Hill","Mexico","Lindgren Bypass","30801"
"38","Pine Bluff","Russian Federation","Gusikowski Loop","5354"
"39","Harlingen","Mauritania","Kari Flat","6878"
"40","Joliet","Central African Republic","Steuber Key","68027"
"41","Cypress","Turks and Caicos Islands","Bergstrom Track","91857"
"42","Pittsfield","Norway","Stokes Cove","4371"
"43","Murray","Tokelau","Edison Fort","586"
"44","Lakewood","Svalbard & Jan Mayen Islands","Lilliana Burgs","46765"
"45","Buffalo Grove","French Southern Territories","Hilll Mills","42213"
"46","Palm Desert","Haiti","Nola Crossing","53310"
"47","Yuba City","Philippines","Erling Trace","88846"
"48","Cleveland Heights","Malta","Amira Causeway","1154"
"49","Broken Arrow","Philippines","Renner Ville","715"
"50","Carmichael","Mauritius","Alexzander Mission","92759"
